food_name,energy_kcal,carb_g,protein_g,fat_g,servings_unit,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g
Black rice kheer (Chak-hao kheer),147.94,22.93,4.37,4.91,bowl,307.22,47.62,9.07,10.19
Boiled egg (Ubla anda),45.35,0.12,4.43,3.04,egg,68.49,0.18,6.69,4.59
Boiled rice (Uble chawal),117.19,25.72,2.60,0.18,plate,351.57,77.16,7.81,0.55
Boondi raita,687.72,3.96,2.19,73.83,bowl,2261.74,13.03,7.21,242.80
Boti kebab,132.86,3.06,9.22,9.27,kebab,72.66,1.67,5.04,5.07
Bottle gourd burfi (Ghiya/Lauki burfi),275.96,24.51,5.86,17.68,burfi,199.03,17.68,4.23,12.75
Bottle gourd kheer (Ghiya/Lauki kheer),84.07,10.00,2.70,3.86,bowl,225.06,26.78,7.23,10.32
Bottle gourd raita (Ghiya/Lauki ka raita),56.31,5.76,3.98,2.07,bowl,85.96,8.79,6.07,3.15
Bottle gourd soup (Ghiya/Lauki soup),23.05,1.16,0.45,1.79,bowl,68.01,3.43,1.34,5.30
Bread and butter pudding ,167.94,19.63,5.59,7.88,plate,206.85,24.17,6.88,9.70
Bread pakora/pakoda,710.99,8.87,2.57,74.20,plate,4653.42,58.07,16.83,485.62
Bread roll,435.46,16.12,2.85,40.25,bread roll,526.92,19.50,3.45,48.70
Bread sauce,111.04,8.69,3.46,7.05,,,,,
Bread upma,129.51,12.60,2.80,7.75,bowl,137.61,13.39,2.97,8.23
Brinjal bhartha (Baingan ka bhartha),65.12,4.40,1.38,4.48,bowl,212.17,14.33,4.50,14.60
Brinjal pickle (Baingan ka achaar),139.01,4.23,2.24,12.98,,,,,
Broccoli chicken ala king,119.56,5.34,7.97,7.57,bowl,282.27,12.60,18.83,17.88
Broccoli delight,40.70,2.34,2.49,2.48,bowl,81.19,4.67,4.97,4.96
Brown sauce,109.18,5.38,11.92,23.67,,,,,
Brown stock,21.32,0.25,1.95,1.38,cup,103.65,1.22,9.47,6.73
Buckwheat pancake (Khura),263.30,27.28,2.91,16.43,pancake,274.93,28.48,3.04,17.16
Butter chicken,137.00,3.74,10.92,8.70,large piece,377.04,10.31,30.06,23.94
Butter icing,500.72,71.64,0.19,25.37,tablespoon,81.12,11.61,0.03,4.11
Butterfly biscuit,341.45,25.33,9.98,22.11,biscuit,41.48,3.08,1.21,2.69
Buttermilk biscuit,322.54,34.93,5.76,17.50,biscuit,414.46,44.88,7.40,22.49
Cabbage and peas (Pattagobhi aur matar),63.88,6.24,3.24,2.64,bowl,106.21,10.37,5.39,4.40
Cabbage kheer (Pattagobhi ki kheer),83.51,9.73,2.87,3.80,bowl,212.47,24.75,7.30,9.66
Cabbage kofta curry (Pattagobhi kofta curry),639.81,2.87,0.98,69.40,bowl,4562.95,20.50,6.96,494.94
Cabbage manchurian (Pattagobhi manchurian),224.26,4.85,0.64,22.48,bowl,1660.41,35.90,4.71,166.47
Cabbage raita (Pattagobhi raita),84.84,5.25,3.24,5.76,bowl,196.95,12.18,7.53,13.37
Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),124.63,7.03,5.76,8.17,roll,181.48,10.24,8.39,11.89
Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),142.48,6.09,8.21,9.36,roll,118.47,5.07,6.82,7.78
Cajun chicken,184.94,1.94,12.69,13.99,chicken breast,309.78,3.25,21.26,23.43
Canjee,6.61,0.44,0.24,0.42,glass,11.26,0.74,0.42,0.72
Caramel custard (baked),122.70,14.95,5.11,5.01,small bowl,276.68,33.72,11.53,11.30
Caramel custard (steamed),121.58,15.02,4.97,4.87,bowl,282.06,34.84,11.53,11.30
Caramel ice cream,173.52,14.81,4.31,11.15,ice-cream cup,471.03,40.19,11.71,30.27
Cardamom cookies (Elaichi cookies),400.49,53.99,5.10,19.12,cookie,875.47,118.02,11.15,41.80
Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),106.61,4.99,1.82,8.62,bowl,212.74,9.97,3.63,17.20
Carrot and fenugreek leaves (Gajar methi),61.92,4.17,2.10,3.81,bowl,118.11,7.96,4.00,7.26
Carrot and spinach raita (Gajar aur palak ka raita),56.83,5.83,4.00,1.99,bowl,100.96,10.37,7.12,3.53
Carrot apple sandwich (Gajar aur seb ka sandwich),214.11,29.04,5.30,9.12,triangle,208.22,28.25,5.15,8.87
Carrot cake (Gajar ka cake),255.59,35.98,5.60,10.27,slice,255.46,35.97,5.60,10.26
Carrot halwa (Gajar ka halwa),172.64,18.53,3.11,9.73,bowl,289.71,31.10,5.22,16.33
Carrot kheer (Gajar ki kheer),85.35,10.09,2.81,3.85,bowl,217.16,25.67,7.14,9.80
Carrot murabba (Gajar ka murabba),175.24,45.60,0.32,0.16,,,,,
Carrot raita (Gajar ka raita),64.78,7.19,4.14,2.19,bowl,102.15,11.33,6.52,3.45
Cashewnut burfi (Kaju burfi/Kaju katli),421.74,37.92,5.48,28.46,burfi,120.90,10.87,1.57,8.16
Cauliflower au gratin,145.90,9.13,4.45,10.20,bowl,490.71,30.72,14.98,34.32
Cauliflower basket,90.95,3.97,5.21,5.88,portion,219.61,9.59,12.57,14.20
Cauliflower canjee (Phoolgobhi ki canjee),6.90,0.35,0.39,0.42,glass,12.32,0.62,0.69,0.76
Cauliflower kheer (Phoolgobhi ki kheer),81.95,8.78,3.04,3.95,bowl,249.49,26.74,9.25,12.03
Cauliflower kofta curry (Phoolgobhi kofta curry),641.10,2.62,1.04,69.62,bowl,4559.31,18.61,7.38,495.14
Cauliflower musallam (Phoolgobhi musallam),58.83,4.48,1.89,3.55,bowl,127.05,9.69,4.09,7.66
Cauliflower pakora/pakoda (Phoolgobhi ke pakode),671.63,4.52,1.98,71.86,plate,4530.17,30.48,13.33,484.71
Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),178.07,18.84,3.73,9.47,parantha,181.39,19.19,3.80,9.64
Cauliflower potato canjee,16.79,2.63,0.57,0.39,glass,35.58,5.58,1.21,0.83
Cauliflower with coconut (Nariyal ke saath phoolgobhi),132.11,3.99,2.64,11.56,bowl,197.56,5.97,3.95,17.29
"Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia)",95.67,8.23,2.75,5.54,bowl,182.93,15.74,5.27,10.59
Cereal mix ,120.81,21.84,3.32,2.02,,151.01,27.30,4.15,2.52
Cereal pulse mix with amylase rice flour,151.57,27.80,4.27,2.74,,128.84,23.63,3.63,2.33
Channa murmura premix,339.09,72.59,10.59,3.28,,,,,
