food_name,energy_kcal,carb_g,protein_g,fat_g,servings_unit,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g
Dahi vadas/Dahi bhalla,667.73,5.49,2.96,70.40,vada,1150.16,9.45,5.10,121.27
Dal dhokli,68.74,8.55,2.96,2.47,bowl,231.41,28.77,9.96,8.32
Dal makhani,74.04,7.96,3.32,3.06,bowl,261.63,28.13,11.71,10.82
Dal moong,43.69,4.92,2.20,1.62,,,,,
Dal parantha/paratha,268.24,30.03,6.78,13.05,parantha,205.73,23.03,5.20,10.01
Dal stuffed poori,785.16,10.14,2.08,81.69,poori,932.65,12.04,2.47,97.03
Dalma,118.93,15.04,4.91,4.58,bowl,313.70,39.68,12.95,12.09
Danedar burfi,102.68,12.33,3.24,4.72,piece,143.47,17.22,4.53,6.60
Danish cookies,475.33,58.00,5.33,24.92,biscuit,59.71,7.29,0.67,3.13
Danish luncheon sandwich,193.82,17.77,9.03,10.10,sandwich,167.41,15.35,7.80,8.72
Date and nut pie,322.42,46.86,3.93,13.31,bowl,728.66,105.91,8.88,30.09
Date pickle (Khajoor ka achaar),182.29,34.66,1.68,4.21,small bowl,251.90,47.90,2.32,5.81
Dates chutney (Khajoor ki chutney),103.57,21.69,1.07,1.12,small bowl,273.26,57.23,2.82,2.96
Dessicated coconut chutney (Sookhe kase nariyal ki chutney) ,346.36,36.72,12.88,15.88,tablespoon,37.47,3.97,1.39,1.72
Deviled egg,98.56,2.23,4.97,7.72,egg,157.45,3.56,7.93,12.33
Dhansak (vegetarian),82.80,7.28,3.32,4.18,bowl,199.57,17.54,8.01,10.07
Dhokla,216.49,30.68,13.45,5.28,piece,86.50,12.26,5.37,2.11
Dil bahar,130.05,28.27,1.52,1.92,piece,405.44,88.13,4.73,5.98
Dry arbi (Sookhi arbi),134.95,11.11,2.12,8.97,bowl,270.69,22.28,4.24,17.99
Dry mango chutney (Sookhe aam ki chutney),298.13,69.17,2.43,0.70,tablespoon,82.58,19.16,0.67,0.19
Dry masala chops,135.07,3.30,9.08,9.54,chops,199.37,4.87,13.40,14.08
Dry potato (Sookhe aloo),103.15,14.38,1.62,4.18,bowl,109.08,15.20,1.71,4.42
Dry washed urad,124.71,15.66,6.85,3.50,bowl,178.59,22.43,9.81,5.01
Ducheese potato,140.54,10.94,3.60,9.01,potato,60.38,4.70,1.55,3.87
Dum aloo,682.33,3.33,0.70,74.01,bowl,4575.57,22.33,4.68,496.27
Dundee cake,396.62,41.40,7.78,22.70,piece,239.31,24.98,4.69,13.70
Egg and tomato sandwich (Ande aur tamatar ka sandwich),222.11,25.90,7.66,10.51,triangle,132.15,15.41,4.56,6.25
Egg curry (Anda curry),117.52,4.03,5.38,8.81,bowl,178.13,6.11,8.16,13.35
Egg cutlet (Anda cutlet),575.02,5.77,2.45,60.25,cutlet,1169.22,11.73,4.98,122.50
Egg drop soup,26.64,1.10,12.93,13.52,soup bowl,84.64,3.50,41.08,42.95
Egg halwa (Ande ka halwa),299.74,39.59,7.85,13.41,bowl,289.25,38.20,7.58,12.94
Egg in a pepper,128.78,0.17,12.64,8.68,egg,749.50,1.00,73.58,50.49
Egg nog,97.14,8.15,4.78,5.11,tall glass,294.82,24.72,14.50,15.51
Egg pakora/pakoda (Ande ke pakode),710.51,4.48,2.83,75.86,plate,4579.22,28.85,18.25,488.94
Egg sandwich (Ande ka sandwich),285.96,29.16,8.69,15.80,triangle,145.12,14.80,4.41,8.02
Egg sauce,146.85,5.88,5.97,11.08,,,,,
Eggless cake,318.08,46.14,8.12,11.75,slice,193.93,28.13,4.95,7.16
Eggplant/Brinjal rice (Vangi bhat),184.80,31.74,5.28,3.67,plate,538.09,92.42,15.37,10.70
Espreso coffee,51.54,6.62,1.75,2.14,tea cup,81.70,10.49,2.77,3.39
Fermented bamboo shoot pickle (Mesu pickle),59.83,1.73,1.58,5.59,jar,81.52,2.36,2.15,7.62
Fermented bengal gram vada (Khameerikrit/Ufna hua channa dal ka vada),657.57,8.68,4.05,67.19,vada,592.64,7.82,3.65,60.55
Fettuccine with spinach sauce,129.21,12.19,3.10,7.83,plate,458.85,43.29,11.02,27.80
Finger millet biscuit (Ragi biscuit),458.56,52.69,4.03,25.79,biscuit,345.41,39.69,3.03,19.43
Finger millet cake (Ragi cake),279.46,38.93,3.96,12.27,slice,275.60,38.39,3.90,12.10
Fish curry (Machli curry),111.13,3.77,8.76,6.69,bowl,282.23,9.58,22.25,16.99
Fish cutlet (Machli ka cutlet),654.64,3.13,2.77,70.11,cutlet,2284.43,10.92,9.66,244.64
Fish finger,542.90,4.47,5.66,55.82,fillet,2408.26,19.85,25.09,247.62
Fish in coconut milk (Nariyal ke doodh ke saath machli),86.21,2.73,8.66,4.43,dish,280.64,8.89,28.19,14.43
Fish orly,563.70,4.27,5.87,58.18,fillet,1657.28,12.54,17.27,171.06
Fish pakora/pakoda,577.03,4.55,5.97,59.52,pakora,395.39,3.12,4.09,40.79
Fish pie,120.90,7.74,9.25,5.77,pie,369.44,23.66,28.27,17.64
Fish sandwich ,150.20,10.09,4.72,10.37,sandwich,391.45,26.29,12.31,27.02
Fish souffle,139.71,5.14,10.51,8.55,dish,412.61,15.18,31.04,25.24
Fish tikka,117.33,3.91,16.00,4.15,piece,41.65,1.39,5.68,1.47
Flaky pastry,443.94,33.61,4.69,31.99,,,,,
Flan pastry,445.80,47.84,6.72,25.04,pastry,232.93,25.00,3.51,13.08
Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),701.71,7.39,1.76,73.89,cutlet,2325.01,24.50,5.82,244.81
Flavoured milkshake,66.78,8.65,2.06,2.83,tall glass,190.31,24.64,5.87,8.06
French dressing,733.77,3.68,0.32,79.65,cup,1477.32,7.40,0.65,160.36
French omelette/omlet,211.04,0.41,10.03,18.86,egg,143.51,0.28,6.82,12.82
French onion soup,55.61,4.28,11.41,14.39,soup bowl,195.69,15.04,40.14,50.65
French sandwich (toasted),186.75,14.82,6.82,11.51,sandwich,208.46,16.54,7.61,12.84
Fricassee of Mushroom,106.66,8.13,3.65,6.63,dish,299.55,22.84,10.25,18.63
Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),125.03,2.51,11.48,7.61,piece,154.73,3.10,14.20,9.42
Fried Egg ,223.67,0.31,11.59,19.62,egg,129.17,0.18,6.69,11.33
Fried fish (Indian style) (Tali hui machli),658.54,5.40,4.35,68.88,piece,2327.95,19.11,15.36,243.49
Fried fish and Chips (English Style) (Tali hui machli aur chips),651.75,2.77,3.36,69.69,fillet,4547.58,19.33,23.45,486.29
Frozen frosty fruit salad (Phalon ka salaad),103.51,15.61,1.68,4.17,slice,241.17,36.37,3.91,9.72
Fruit delight,107.09,9.11,2.09,7.09,small mould,366.25,31.15,7.13,24.25
Fruit flan,261.35,34.71,3.30,12.48,flan,1215.94,161.50,15.35,58.08
Fruit Ice cream (Phalon ka Ice cream),171.46,16.05,4.37,10.38,ice-cream cup,550.82,51.56,14.05,33.35
Fruit Loaf ,324.19,46.49,5.36,13.31,slice,181.14,25.98,3.00,7.44
Fruit Punch (with fresh juices),36.12,9.38,0.14,0.03,tall glass,196.60,51.06,0.76,0.18
Fruit Punch (with squashes),23.13,5.99,0.07,0.02,tall glass,116.30,30.12,0.36,0.08
Fruit puree tart,286.50,30.42,3.35,16.83,tart,159.40,16.92,1.86,9.36
Fruit salad (Phalon ka salaad),78.14,15.96,0.91,1.22,bowl,237.53,48.52,2.78,3.70
Garam masala,254.21,26.20,9.89,10.97,,,,,
Garlic chickpea soup (Lahasun aur chane ka shoraba),89.53,13.92,4.45,2.01,soup bowl,284.89,44.29,14.15,6.41
Garlic chutney/Poondu chutney (Lahasun ki chutney),255.51,20.44,3.34,17.55,small bowl,202.83,16.22,2.65,13.93
Garlic pickle (Lahasun ka achar),413.62,9.75,3.72,39.88,jar,211.44,4.99,1.90,20.39
Garlic soup,194.86,6.99,2.38,17.62,bowl,280.60,10.06,3.43,25.37
Ghiya/Lauki Kofta Curry,638.71,2.71,0.89,69.40,bowl,4555.07,19.32,6.34,494.95
Ghujia/Lavang latika,768.98,13.00,1.86,78.93,gunjia,818.71,13.85,1.98,84.03
Ginger biscuit (Adarak ke biscuit),417.91,58.44,5.98,18.31,biscuit,56.24,7.87,0.80,2.46
Ginger bread man,365.00,60.26,6.61,11.01,biscuit,108.45,17.90,1.96,3.27
Ginger candy (Adrak ki candy),195.71,50.38,0.69,0.27,,,,,
Ginger chicken,129.17,5.60,8.24,8.24,bowl,495.91,21.50,31.65,31.64
Gingerman biscuit,357.43,55.24,6.26,12.73,gingerman,127.03,19.63,2.22,4.52
Gingo,48.02,12.42,0.14,0.06,tall glass,139.73,36.14,0.40,0.17
Glace icing,323.51,86.31,0.01,0.01,,,,,
Gobi 65,278.29,3.59,0.56,29.11,plate,2386.48,30.81,4.81,249.63
Gooseberry chutney (Amla chutney),43.02,8.83,1.44,0.62,tablespoon,6.90,1.42,0.23,0.10
Gooseberry marmalade (Amla murabba),123.16,32.34,0.14,0.03,,,,,
Gooseberry pickle (Amla ka achaar),278.58,7.61,1.55,27.61,jar,64.86,1.77,0.36,6.43
Gram flour and semolina chilla/cheela/savory pancake (Besan suji chilla/cheela),758.89,7.63,2.08,80.04,cheela,1142.14,11.49,3.12,120.46
Gram flour and semolina dhokla (Besan suji dhokla),198.91,25.92,8.52,7.10,piece,196.50,25.60,8.41,7.01
Gram flour burfi (Besan burfi),421.79,46.59,11.19,22.41,burfi,161.60,17.85,4.29,8.58
Gram flour chilla/cheela (Besan chilla/cheela),135.93,21.03,7.80,2.85,cheela,70.78,10.95,4.06,1.49
Gram flour halwa (Besan halwa),276.79,25.78,5.88,17.30,piece,411.15,38.29,8.73,25.69
Gram flour ladoo (Besan ladoo),476.91,62.61,8.93,22.76,ladoo,168.11,22.07,3.15,8.02
Gram flour poori (Besan poori),697.66,10.93,2.59,71.51,poori,525.57,8.24,1.95,53.87
Grape and orange whip,57.39,6.72,1.41,2.62,orange case,69.44,8.13,1.71,3.17
Grapes raita (Angoor ka raita),72.59,9.66,3.98,2.07,bowl,115.31,15.34,6.31,3.28
Gravy for kofta,125.59,6.31,1.75,10.35,bowl,174.88,8.78,2.43,14.41
Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),173.43,27.57,4.88,4.82,plate,620.70,98.67,17.45,17.25
Green chilli raita (Hari mirch ka raita),77.13,7.66,5.58,2.92,bowl,79.07,7.85,5.72,3.00
Green chilli sauce,46.06,7.36,1.25,0.27,,,,,
Green chutney,79.42,10.01,5.42,1.60,glass jar,19.38,2.44,1.32,0.39
Green gram whole with baghar (Sabut moong dal with tadka),63.43,6.80,3.23,2.48,bowl,143.19,15.34,7.29,5.60
Green pea soup (Matar ka soup),39.81,3.63,11.06,12.90,bowl,221.32,20.20,61.52,71.70
Green tomato pickle (Haray tamatar ka achaar),193.26,2.87,1.23,19.67,jar,122.91,1.82,0.79,12.51
Greenpea cookies,159.42,23.07,6.53,4.24,cookie,120.92,17.50,4.95,3.22
Guava jelly (Amrood ki jelly),115.74,28.18,1.11,0.25,,,,,
Guava raita (Amarood ka raita),64.36,7.27,4.19,2.07,bowl,102.22,11.55,6.65,3.29
Gujarati handvo ,207.09,31.86,8.24,4.80,cake,1442.54,221.90,57.40,33.44
Gulab Jamun with khoya,586.06,26.09,2.03,53.23,gulab jamun,918.46,40.89,3.18,83.43
Gulab jamun with milk powder,471.15,28.24,0.85,40.15,piece,1422.30,85.26,2.57,121.21
Gum icing,223.07,53.19,5.94,0.00,,,,,
Gun powder chutney,312.34,47.65,21.55,2.67,tablespoon,43.47,6.63,3.00,0.37
Gunjia,667.34,5.68,2.98,70.28,gunjia,1166.18,9.92,5.21,122.81
Ham and Bean soup,96.04,4.18,10.61,4.15,bowl,144.82,6.30,15.99,6.26
Handi chicken,166.02,1.49,12.32,12.46,plate,384.96,3.47,28.57,28.90
Hariyali Fish Tikka,150.24,2.21,14.01,9.41,kebab,268.25,3.94,25.01,16.79
Hawain salad,175.23,14.35,4.27,11.37,bowl,682.64,55.91,16.63,44.28
Hazelnut cookies,493.32,39.44,6.25,34.97,cookie,423.02,33.82,5.36,29.99
Home made egg noodles,240.84,42.92,6.55,4.37,curry bowl,541.78,96.55,14.73,9.84
Home made plain noodles,238.78,44.50,6.21,3.56,,,,,
Honey banana cream,125.49,13.64,2.78,6.68,tall stemmed glass,415.37,45.14,9.19,22.09
Honey cake,333.59,49.04,3.08,14.70,slice,546.05,80.27,5.04,24.07
Horsegram dal (Kulthi dal) ,55.65,8.21,2.91,1.13,bowl,200.79,29.61,10.50,4.09
Hot and sour soup,31.51,1.78,3.12,1.31,soup bowl,123.85,6.98,12.25,5.16
Hot cheese souffle,177.10,5.41,9.18,13.23,bowl,525.53,16.04,27.25,39.26
Hot cherry sauce,252.74,67.95,0.13,0.07,,,,,
Hot chocolate,90.01,9.02,3.43,4.61,tea cup,171.46,17.18,6.53,8.78
Hot chocolate souffle,226.09,26.21,6.70,11.10,bowl,321.05,37.22,9.51,15.77
Hot cocoa,90.10,9.23,3.36,4.56,cup,172.09,17.64,6.42,8.72
Hot fish souffle,142.92,3.69,11.23,9.24,bowl,524.16,13.54,41.17,33.90
Hot lemon souffle,155.25,16.31,5.29,7.93,bowl,188.63,19.82,6.43,9.64
Hot orange souffle,179.97,18.77,6.87,8.95,bowl,219.56,22.90,8.38,10.92
Hot potato souffle,125.64,8.56,5.51,7.64,bowl,460.78,31.41,20.20,28.04
Hot spinach souffle,104.25,4.19,5.43,7.24,bowl,413.60,16.62,21.56,28.72
Hot tea (Garam Chai),16.14,2.58,0.39,0.53,tea cup,33.98,5.43,0.82,1.12
Hot vanilla souffle,192.93,21.77,6.87,9.07,bowl,245.99,27.76,8.76,11.57
Ice box cookies,374.24,56.09,5.70,14.44,cookie,51.87,7.77,0.79,2.00
Iced tea,10.34,2.70,0.03,0.01,tall glass,33.10,8.64,0.09,0.04
Idli,137.54,28.18,4.64,0.33,idli,34.47,7.06,1.16,0.08
Indian lamb and egg curry (Nargisi kofta),335.75,2.07,3.84,34.70,kofta,1312.54,8.09,15.01,135.64
Indian style egg bhujia (Anda bhujia (Indian style)),102.83,3.76,6.10,7.02,small bowl,129.53,4.74,7.68,8.84
Instant coffee,23.16,3.65,0.64,0.75,tea cup,104.20,16.44,2.88,3.36
Instant dhokla,207.11,24.11,7.66,9.37,dhokla,87.99,10.24,3.26,3.98
Instant idli (with semolina),247.29,43.40,9.16,3.61,idli,87.23,15.31,3.23,1.27
Jackfruit fritters (Ponsa mulik/Kathal ka pakora),597.79,24.00,2.34,54.41,mulik/fritter,160.12,6.43,0.63,14.57
Jackfruit kofta curry (Kathal ka kofta curry),321.08,3.17,0.80,33.83,bowl,2408.96,23.76,6.04,253.83
Jackfruit sabzi (Kathal ki sabzi),625.40,3.40,0.69,67.60,bowl,2258.72,12.28,2.49,244.13
Jackfruit/Kathal (dry),488.97,4.56,0.93,51.78,bowl,2363.80,22.07,4.49,250.33
Jal jeera,30.24,6.70,0.44,0.26,juice glass,42.34,9.38,0.61,0.36
Jam and fruit pancake,162.02,20.73,3.79,7.01,pancake,106.57,13.63,2.49,4.61
Jam filling,184.62,46.15,0.00,0.00,tablespoon,30.00,7.50,0.00,0.00
Jam tart,360.72,46.18,4.42,17.35,tart,130.54,16.71,1.60,6.28
Jellied sunshine fruit salad,48.86,4.21,5.85,0.85,small mould,121.43,10.45,14.54,2.11
Jelly biscuit,404.61,55.24,4.23,19.33,biscuit,72.45,9.89,0.76,3.46
Jhatpat achar with carrot (Jhatpat achaar gajar ke saath),91.21,6.32,1.98,6.55,,,,,
Jowar dosa,294.35,40.53,8.50,10.28,dosa,97.25,13.39,2.81,3.40
Kabuli channa curry,68.57,7.63,2.92,3.06,bowl,243.87,27.13,10.39,10.87
Kadhai Paneer,107.99,7.34,4.33,6.81,bowl,343.56,23.35,13.78,21.66
Kale salad,177.71,5.01,4.86,15.33,bowl,95.35,2.69,2.61,8.22
Kashmiri masala,389.02,23.16,8.26,31.03,,,,,
Kashmiri mutton koftas (Gushtaba),97.42,3.04,6.33,6.77,gushtaba,296.19,9.25,19.26,20.57
Kashmiri 'tahar',98.21,19.11,1.95,1.37,plate,319.82,62.23,6.36,4.45
Kashmiri tea (Kehwa),24.90,5.23,0.17,0.51,tea cup,63.93,13.43,0.45,1.30
Keema kofta curry,154.45,5.64,9.77,10.39,kofta,63.82,2.33,4.04,4.29
Keema pancake,176.27,9.56,9.01,11.25,pancake,194.58,10.55,9.94,12.41
Keema parantha/paratha,238.09,18.36,9.41,13.91,parantha,238.16,18.36,9.41,13.91
Kesari bath,244.57,31.38,2.40,12.59,bowl,432.24,55.46,4.23,22.24
Khakhra,178.50,27.66,4.78,5.32,khakhra,135.10,20.94,3.61,4.03
Khakhra chaat,358.66,16.64,4.52,30.65,plate,2996.46,139.04,37.80,256.05
Khaman (dhokla),54.73,5.36,1.92,2.80,dhokla,64.93,6.35,2.28,3.32
Khasta kachori,712.73,12.81,2.51,72.27,kachori,717.57,12.90,2.53,72.76
Khatta channa,202.57,21.14,6.30,10.56,bowl,318.15,33.20,9.89,16.59
Khoa and coconut pancake,271.98,27.32,6.98,15.29,pancake,193.51,19.44,4.97,10.88
Khoa coconut burfi,411.45,36.55,9.98,26.01,piece,206.76,18.37,5.01,13.07
Khoa ladoo,396.02,34.43,12.21,24.09,piece,178.21,15.49,5.49,10.84
Kidney bean curry (Rajmah curry),143.73,16.38,5.95,5.77,bowl,172.36,19.64,7.14,6.92
Kidney bean sandwich with cottage cheese,176.64,18.86,9.85,6.84,triangle,423.42,45.21,23.60,16.40
Kiwi granola pudding,280.99,32.33,5.60,15.36,bowl,1472.38,169.42,29.35,80.48
Kulfi,98.43,11.30,3.21,4.70,kulfi,265.87,30.53,8.67,12.69
Lasagne with meat sauce,63.38,5.38,2.90,3.43,dish,1124.63,95.51,51.49,60.95
Lasagne with vegetables,49.23,5.90,1.71,2.16,dish,865.02,103.75,29.96,37.96
Lassi (salted),18.84,1.86,1.35,0.72,tall glass,79.76,7.86,5.73,3.04
Lem-o-gin,21.52,5.55,0.08,0.03,glass,76.76,19.81,0.29,0.10
Lemon and ginger squash (Nimbu aur adrak ka squash),170.34,44.06,0.54,0.21,,,,,
Lemon butter fish,160.25,0.75,16.38,10.26,piece,320.49,1.51,32.77,20.52
Lemon cake,373.85,43.10,5.29,20.63,piece,228.05,26.29,3.22,12.58
Lemon chicken,169.79,0.55,20.20,9.66,plate,486.57,1.58,57.88,27.67
Lemon chiffon pie,259.31,27.63,4.88,14.52,pie,1389.91,148.12,26.15,77.80
Lemon cookies,394.48,42.19,5.63,23.02,cookie,617.36,66.02,8.81,36.02
Lemon coriander soup,108.06,10.32,2.27,6.26,bowl,52.52,5.01,1.10,3.04
Lemon curd filling,225.62,26.41,3.43,12.58,tablespoon,56.41,6.60,0.86,3.14
Lemon green chilli pickle (Nimboo aur hari mirch ka achaar),14.07,2.14,0.85,0.24,,,,,
Lemon meringue pie,224.43,35.11,3.88,8.16,slice,352.07,55.07,6.08,12.80
"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",176.30,21.62,4.26,7.88,plate,562.69,69.01,13.58,25.15
Lemon souffle,168.51,13.43,6.95,10.02,souffle cup,399.36,31.83,16.47,23.75
Lemon squash (Nimbu ka squash),184.56,48.88,0.15,0.06,,,,,
Lemon tart,303.35,30.68,6.12,17.45,tart,165.14,16.70,3.33,9.50
Lemonade,20.80,5.48,0.03,0.01,glass,72.64,19.13,0.12,0.04
Lentil soup,31.17,3.94,9.65,11.68,soup bowl,121.31,15.35,37.57,45.46
Lentils and semolina porridge (Dal suji porridge/daliya),117.29,23.19,3.26,1.06,,234.58,46.38,6.52,2.12
Lentils and wheat porridge (Dal wheat porridge/daliya ),52.54,8.36,2.71,0.94,,89.44,14.24,4.62,1.60
Lichi squash,198.33,51.96,0.30,0.08,,,,,
Lobia curry,148.99,17.88,6.06,5.62,bowl,178.67,21.44,7.27,6.74
Lotus seed halwa (Kamal gattay ka halwa),370.55,39.56,7.79,20.69,piece,1343.24,143.41,28.24,74.99
Lotus stem curry (Kamal kakdi curry),110.34,9.24,1.53,7.25,bowl,223.25,18.69,3.09,14.67
Lotus stem kofta curry (Kamal kakdi kofta curry),633.56,5.01,0.96,67.76,bowl,4632.43,36.67,7.00,495.47
Lotus stem pickle (Kamal kakdi ka achar),102.69,20.07,1.44,1.60,jar,403.96,78.95,5.68,6.29
Low calorie quick mayonnaise,242.89,4.71,1.41,24.35,,,,,
Maa chaane ki dal,344.67,43.11,19.80,9.50,bowl,279.44,34.95,16.05,7.71
Macaroni salad,262.19,21.63,5.02,17.78,cup,422.24,34.83,8.08,28.64
Macroni cheese pie,170.63,21.10,5.85,7.48,casserole dish,408.65,50.52,14.01,17.92
Maize porridge,89.57,15.64,2.14,1.89,,152.27,26.59,3.64,3.21
Makhana kheer,107.85,12.88,3.31,5.00,bowl,299.94,35.82,9.21,13.92
Makki ki roti,263.97,24.19,3.49,16.85,roti,224.37,20.56,2.97,14.32
Mal pua,566.68,17.56,1.71,54.64,malqura,847.94,26.28,2.55,81.75
Mango cheesecake,152.46,20.06,2.39,7.30,slice,265.56,34.94,4.16,12.72
Mango ice cream,125.69,11.14,3.40,7.62,ice-cream cup,573.13,50.78,15.52,34.74
Mango malpua,334.64,12.84,1.65,30.67,piece,1314.71,50.45,6.48,120.50
Mango milkshake (Aam milkshake),56.90,7.23,1.73,2.35,tall glass,202.28,25.71,6.14,8.34
Mango milkshake with ice cream (Aam milkshake ice cream ke saath),68.35,9.18,1.93,2.80,tall glass,232.39,31.21,6.56,9.51
Mango mousse,124.98,9.14,3.21,8.47,cup,348.68,25.50,8.95,23.62
Mango murabba candy,293.35,77.32,0.27,0.05,candy,222.94,58.76,0.20,0.04
Mango pickle (Aam ka achaar),192.12,8.11,1.60,17.89,,,,,
Mango raita (Aam ka raita),67.37,8.23,3.90,2.14,bowl,107.00,13.07,6.20,3.41
Mango squash (Aam ka squash),194.66,50.96,0.17,0.17,,,,,
Mango vanilla custard,147.63,18.41,3.43,7.04,glass,300.06,37.41,6.97,14.32
Marble cake,354.11,46.88,6.30,16.27,piece,189.78,25.12,3.38,8.72
Marmalade (Murabba),143.76,37.64,0.23,0.04,,,,,
Masala arbi,185.38,16.16,3.01,11.90,bowl,215.37,18.77,3.49,13.83
Masala biscuit,393.64,45.18,6.06,20.75,biscuit,63.64,7.30,0.98,3.35
Masala dosa,164.58,19.57,3.29,7.84,dosa,345.08,41.02,6.89,16.44
Masala dosa mixed vegetable fillings,144.53,23.02,4.84,3.26,dosa,400.84,63.83,13.41,9.03
Masala dosa paneer fillings,243.12,29.76,10.31,8.84,dosa,479.75,58.72,20.34,17.45
Masala green chilli pakora/pakoda (Hari mirch kay pakode),668.76,5.55,2.22,71.01,pakora,458.92,3.81,1.53,48.73
Masala onion pakora/pakoda (Pyaaz ke pakode),551.64,6.48,2.05,57.61,pakora,389.03,4.57,1.44,40.63
Masala souffle ,123.51,8.02,6.38,7.37,souffle dish,1833.77,119.08,94.77,109.35
Masala urad dal vada,703.78,9.93,4.32,71.62,vada,602.03,8.50,3.70,61.26
Masala vada,826.02,4.06,1.69,89.15,vada,2228.20,10.96,4.55,240.50
Mashed banana with milk,95.43,14.62,2.51,2.99,,,,,
Mathri,805.12,12.32,1.75,83.10,kachori,702.18,10.75,1.53,72.47
Mayonnaise,774.86,1.65,1.86,84.52,,,,,
Mayonnaise vegetable dip,241.27,4.80,3.01,23.44,tablespoon,103.28,2.05,1.29,10.04
Mayonnaise without eggs,329.05,3.98,2.13,33.84,cup,1274.26,15.43,8.25,131.05
Meat and macaroni casserole,161.55,16.12,9.15,10.17,small casserole dish,647.01,64.58,36.63,40.72
Meat consomme (with mutton),29.76,0.51,14.86,13.68,bowl,184.51,3.16,92.11,84.79
Meat stock,24.48,0.00,2.10,1.78,cup,213.00,0.00,18.30,15.45
Melting moments,437.91,55.84,5.71,21.78,biscuit,72.86,9.29,0.95,3.62
Meringue and rice pudding,112.93,14.60,4.84,4.05,bowl,252.96,32.71,10.83,9.07
Methi chaman,475.62,2.78,1.54,50.91,bowl,4763.38,27.83,15.44,509.84
Methi malai paneer,194.98,8.15,7.34,14.76,bowl,377.04,15.76,14.20,28.54
Methi pakora/pakoda (Methi ke pakode),713.25,4.68,2.06,76.39,plate,4525.58,29.72,13.08,484.69
Methi parantha/paratha,148.36,22.19,4.27,4.34,parantha,135.30,20.24,3.90,3.96
Methi poori,710.02,7.98,1.45,74.60,poori,923.03,10.38,1.89,96.99
Methi thepla,346.16,41.34,8.98,15.95,thepla,126.16,15.07,3.27,5.81
Mexican rice,120.57,14.21,4.62,4.88,plate,624.24,73.60,23.94,25.27
Milk cake,127.41,9.13,3.01,8.93,slice,365.98,26.22,8.65,25.64
Milk cookies,459.43,48.43,10.49,24.96,cookie,573.57,60.46,13.10,31.16
Millet soup,55.99,8.22,11.26,12.57,bowl,129.64,19.03,26.08,29.10
Minced meat ball curry,109.79,2.86,6.82,7.85,bowl,409.60,10.66,25.43,29.28
Minced meat cutlet,531.86,5.61,5.10,54.47,cutlet,1241.01,13.08,11.90,127.09
Minced meat pancake (with chicken),116.04,8.18,12.01,10.48,pancake,155.93,10.99,16.14,14.08
Minced meat patties,265.72,15.25,6.88,19.57,patty,345.00,19.81,8.93,25.41
Minced meat pie,221.55,18.11,7.38,13.04,pie,783.93,64.10,26.11,46.14
Minced meat samosa (Keema ka samosa),620.99,6.14,4.43,64.26,samosa,837.51,8.28,5.97,86.67
Minestrone soup,42.66,3.71,9.30,11.09,soup bowl,98.17,8.55,21.41,25.51
Mint and coriander chutney (Pudinay aur dhaniye ki chutney),102.60,21.18,2.81,0.51,tablespoon,26.98,5.57,0.74,0.13
Mint and peanut raita (Pudinay aur moongfali ka raita),112.05,7.31,7.05,6.19,bowl,149.21,9.74,9.38,8.25
Mint and peanut sandwich,273.59,31.83,7.18,13.88,sandwich,134.29,15.62,3.52,6.81
Mint raita (Pudinay ka raita),77.59,7.65,5.64,2.96,bowl,81.21,8.00,5.90,3.10
Mint tomato chutney (Pudinay aur tamatar ki chutney),43.65,8.22,1.53,0.36,tablespoon,8.26,1.56,0.29,0.07
Mintade,40.32,10.59,0.03,0.02,glass,229.84,60.39,0.19,0.13
Mixed dal,61.93,5.79,2.51,3.10,bowl,184.44,17.25,7.46,9.24
Mixed pulse and vegetable salad,83.12,13.96,4.74,0.84,bowl,141.23,23.72,8.05,1.42
Mixed stock,25.19,0.33,2.06,1.71,cup,229.25,3.02,18.79,15.59
Mixed vegetable pakora/pakoda,673.81,5.12,1.94,71.86,plate,4544.85,34.56,13.08,484.67
Mixed vegetable pickle (Sabziyoon ka achaar),211.20,7.48,1.90,19.68,,,,,
Mixed vegetable pulao,113.05,17.49,2.72,3.33,plate,495.61,76.68,11.94,14.59
Mixed vegetable salad with curd sauce,60.28,7.03,4.23,1.50,bowl,129.86,15.15,9.11,3.23
Mixed vegetable soup,35.71,2.95,8.22,11.66,bowl,157.37,12.99,36.21,51.39
Mooli bhujia,91.20,4.74,1.69,7.25,bowl,180.96,9.41,3.35,14.39
Moong bean dosa (Pesarattu),285.96,31.91,12.32,11.67,pesarattu,75.94,8.47,3.27,3.10
Moong dal halwa,349.80,40.23,8.35,17.68,bowl,333.68,38.37,7.97,16.86
Moong dal kheer,77.16,9.89,2.95,2.97,bowl,312.82,40.11,11.97,12.06
Moong dal mixture,158.84,33.93,4.62,1.00,,,,,
Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),154.89,19.42,6.97,5.11,cheela,352.10,44.16,15.85,11.63
